policy_id,policy_start_date,policy_end_date,renewal_count,avg_premium_paid,total_claim_amount,number_of_claims,engagement_touches,last_renewal_months_ago
POL100000,5/10/17,10/2/19,3,565.21,781.12,1,4,13
POL100001,7/18/18,7/1/23,5,573.04,1055.45,1,5,29
POL100002,2/4/18,9/2/21,3,527.48,925.22,1,3,31
POL100003,12/31/17,11/2/20,4,702.92,1550,1,6,44
POL100004,6/27/19,1/14/24,5,504.9,0,0,6,11
POL100005,12/9/20,4/26/24,4,546,2822.34,2,1,26
POL100006,4/11/16,3/6/18,3,410.97,0,0,5,25
POL100007,5/23/18,4/27/20,3,656.75,0,0,6,47
POL100008,11/27/15,5/5/19,1,741.29,335.98,1,5,28
POL100009,1/22/19,1/25/22,4,545.85,484.24,1,5,22
POL100010,11/5/20,10/23/22,4,721.11,2251.78,3,4,21
POL100011,12/29/22,12/18/27,3,577.96,0,0,5,19
POL100012,5/11/15,6/4/17,2,220.88,3973.43,3,1,37
POL100013,8/13/19,8/27/23,5,592.27,1996.82,1,4,45
POL100014,2/8/17,3/29/20,1,573.66,1414.16,3,9,15
POL100015,7/19/21,10/11/25,7,615.45,3392.18,2,7,30
POL100016,2/24/19,5/23/23,3,637.98,1505.96,3,3,2
POL100017,10/24/22,12/11/23,4,497.41,2877.71,2,6,20
POL100018,8/30/21,11/26/22,2,820.7,1393.37,1,2,38
POL100019,4/30/18,4/4/21,0,590.08,1834.62,1,5,4
POL100020,8/13/17,2/22/20,4,570.05,0,0,4,19
POL100021,5/13/21,7/7/24,3,711.68,836.26,1,5,22
POL100022,3/30/18,4/14/19,4,602.78,454.33,1,2,31
POL100023,4/4/16,8/10/18,3,984.88,2977.65,3,3,41
POL100024,1/22/15,2/3/17,1,568.51,1849.71,1,5,8
POL100025,4/19/21,9/15/25,0,652.77,1628.59,1,2,2
POL100026,1/17/17,2/20/19,3,487.63,1528.93,1,6,26
POL100027,12/14/22,4/14/27,2,730.58,3618.44,3,4,26
POL100028,4/19/16,9/10/17,6,646.31,1801.93,1,2,9
POL100029,12/18/17,10/12/22,2,549.15,3192.15,3,2,15
POL100030,1/2/22,5/25/25,4,469.13,1663.4,3,5,23
POL100031,8/9/20,11/20/22,3,403.59,1723.89,1,2,22
POL100032,7/10/22,9/11/23,7,662.81,1550.77,2,2,8
POL100033,9/2/17,9/19/18,5,391.97,0,0,4,1
POL100034,12/12/19,6/7/24,4,796.27,1028.53,2,5,5
POL100035,7/9/15,7/26/18,1,410.57,2670.8,2,3,36
POL100036,6/27/22,11/25/25,6,573.24,2664.08,2,4,34
POL100037,7/16/16,5/18/20,1,467.77,0,0,4,6
POL100038,3/14/20,12/30/22,2,604.9,0,0,5,14
POL100039,6/21/18,9/22/21,1,603.98,3230.38,2,3,20
POL100040,11/19/22,4/4/25,3,666.72,0,0,3,37
POL100041,3/9/19,1/13/22,2,371.06,2588.79,2,6,35
POL100042,10/8/16,5/2/19,1,485.44,1625.02,1,5,22
POL100043,8/30/20,6/14/25,0,745.58,4740.81,3,8,28
POL100044,11/28/22,5/28/25,1,698.78,738.28,1,2,12
POL100045,1/23/21,5/4/23,1,225.08,0,0,6,4
POL100046,7/21/18,12/18/22,5,656.58,3340.26,3,6,46
POL100047,9/1/21,10/31/25,2,445.13,332.37,1,6,38
POL100048,8/23/16,12/30/19,6,511.23,2416.73,3,4,38
POL100049,6/21/21,12/12/24,2,565.9,3316.8,3,4,41
